===============================================
MyPinTool analysis results: 
Number of instructions: 6021656
Number of basic blocks: 1523521
Number of threads: 8
===============================================
              Procedure           Image            Address        Calls Instructions
         __strcmp_ssse3       libc.so.6       7f22330583d0            8          392
          _dl_vdso_vsym       libc.so.6       7f223304dea0            3           81
    __libc_dl_error_tsd       libc.so.6       7f223304de80            1            3
_dl_mcount_wrapper_check       libc.so.6       7f223304d6a0          128          512
               _dl_addr       libc.so.6       7f223304d340            1        56045
    __libc_pthread_init       libc.so.6       7f2233023ce0            1          393
    __unregister_atfork       libc.so.6       7f2233023b40            5           95
        __linkin_atfork       libc.so.6       7f2233023ad0            1            8
      __register_atfork       libc.so.6       7f2233023980            1           49
__libc_disable_asynccancel       libc.so.6       7f2233023900           17          204
__libc_enable_asynccancel       libc.so.6       7f22330238a0           17          187
               wctype_l       libc.so.6       7f223301ad30            9          876
                  clone       libc.so.6       7f2233016dd0            7          189
            __init_misc       libc.so.6       7f2233016ca0            1           24
               mprotect       libc.so.6       7f2233012e30            7           35
                 munmap       libc.so.6       7f2233012e00            1            5
                   mmap       libc.so.6       7f2233012dd0            9           54
            getpagesize       libc.so.6       7f223300fc40            8           40
                 __sbrk       libc.so.6       7f223300f660            2           46
                    brk       libc.so.6       7f223300f5e0            2           26
              getrlimit       libc.so.6       7f223300f180            1            5
       __close_nocancel       libc.so.6       7f223300a509            1            5
       __write_nocancel       libc.so.6       7f2233009f09            0          195
                __write       libc.so.6       7f2233009f00           15          225
        __read_nocancel       libc.so.6       7f2233009ea9            0           13
                 __read       libc.so.6       7f2233009ea0            1           15
        __open_nocancel       libc.so.6       7f2233009c99            0           13
                 __open       libc.so.6       7f2233009c90            1           15
               __fxstat       libc.so.6       7f22330097e0            2           20
      popcount_cpucount       libc.so.6       7f22330095e0            1          391
                  _exit       libc.so.6       7f2232fe7e60            1           10
                  wctob       libc.so.6       7f2232fcc080          128         2432
                  btowc       libc.so.6       7f2232fcbef0          256         8192
           handle_intel       libc.so.6       7f2232fc9ea0            2           98
       intel_check_word       libc.so.6       7f2232fc9be0            4          850
          __strstr_sse2       libc.so.6       7f2232fc8bd0            1           25
              strchrnul       libc.so.6       7f2232fbb960           41         1015
          __memcpy_sse2       libc.so.6       7f2232fba420           12          241
         __mempcpy_sse2       libc.so.6       7f2232fb53b0           66         1281
                 memset       libc.so.6       7f2232fb5260           15          587
            __GI_memcmp       libc.so.6       7f2232fb4c30           41          857
           __GI_strrchr       libc.so.6       7f2232fb4150            1          106
                 strlen       libc.so.6       7f2232fb2400           73         1316
