===============================================
MyPinTool analysis results: 
Number of instructions: 7478946
Number of basic blocks: 1927913
Number of threads: 8
===============================================
              Procedure           Image            Address        Calls Instructions
         __strcmp_ssse3       libc.so.6       7f6671b433d0            8          392
          _dl_vdso_vsym       libc.so.6       7f6671b38ea0            3           81
    __libc_dl_error_tsd       libc.so.6       7f6671b38e80            1            3
_dl_mcount_wrapper_check       libc.so.6       7f6671b386a0          128          512
               _dl_addr       libc.so.6       7f6671b38340            1        56045
    __libc_pthread_init       libc.so.6       7f6671b0ece0            1          393
    __unregister_atfork       libc.so.6       7f6671b0eb40            5           95
        __linkin_atfork       libc.so.6       7f6671b0ead0            1            8
      __register_atfork       libc.so.6       7f6671b0e980            1           49
__libc_disable_asynccancel       libc.so.6       7f6671b0e900            3           36
__libc_enable_asynccancel       libc.so.6       7f6671b0e8a0            3           33
               wctype_l       libc.so.6       7f6671b05d30            9          876
                  clone       libc.so.6       7f6671b01dd0            7          189
            __init_misc       libc.so.6       7f6671b01ca0            1           24
               mprotect       libc.so.6       7f6671afde30            7           35
                 munmap       libc.so.6       7f6671afde00            1            5
                   mmap       libc.so.6       7f6671afddd0            9           54
            getpagesize       libc.so.6       7f6671afac40            8           40
                 __sbrk       libc.so.6       7f6671afa660            2           46
                    brk       libc.so.6       7f6671afa5e0            2           26
              getrlimit       libc.so.6       7f6671afa180            1            5
       __close_nocancel       libc.so.6       7f6671af5509            1            5
       __write_nocancel       libc.so.6       7f6671af4f09            0           13
                __write       libc.so.6       7f6671af4f00            1           15
        __read_nocancel       libc.so.6       7f6671af4ea9            0           13
                 __read       libc.so.6       7f6671af4ea0            1           15
        __open_nocancel       libc.so.6       7f6671af4c99            0           13
                 __open       libc.so.6       7f6671af4c90            1           15
               __fxstat       libc.so.6       7f6671af47e0            2           20
      popcount_cpucount       libc.so.6       7f6671af45e0            1          391
                  _exit       libc.so.6       7f6671ad2e60            1           10
                  wctob       libc.so.6       7f6671ab7080          128         2432
                  btowc       libc.so.6       7f6671ab6ef0          256         8192
           handle_intel       libc.so.6       7f6671ab4ea0            2           98
       intel_check_word       libc.so.6       7f6671ab4be0            4          850
