===============================================
MyPinTool analysis results: 
Number of instructions: 6012741
Number of basic blocks: 1537076
Number of threads: 8
===============================================
              Procedure           Image            Address        Calls Instructions
         __strcmp_ssse3       libc.so.6       7fbb536bb3d0            8          392
          _dl_vdso_vsym       libc.so.6       7fbb536b0ea0            3           81
    __libc_dl_error_tsd       libc.so.6       7fbb536b0e80            1            3
_dl_mcount_wrapper_check       libc.so.6       7fbb536b06a0          128          512
               _dl_addr       libc.so.6       7fbb536b0340            1        56045
    __libc_pthread_init       libc.so.6       7fbb53686ce0            1          393
    __unregister_atfork       libc.so.6       7fbb53686b40            5           95
        __linkin_atfork       libc.so.6       7fbb53686ad0            1            8
      __register_atfork       libc.so.6       7fbb53686980            1           49
__libc_disable_asynccancel       libc.so.6       7fbb53686900           17          204
__libc_enable_asynccancel       libc.so.6       7fbb536868a0           17          187
               wctype_l       libc.so.6       7fbb5367dd30            9          876
                  clone       libc.so.6       7fbb53679dd0            7          189
            __init_misc       libc.so.6       7fbb53679ca0            1           24
               mprotect       libc.so.6       7fbb53675e30            7           35
                 munmap       libc.so.6       7fbb53675e00            1            5
                   mmap       libc.so.6       7fbb53675dd0            9           54
            getpagesize       libc.so.6       7fbb53672c40            8           40
                 __sbrk       libc.so.6       7fbb53672660            2           46
                    brk       libc.so.6       7fbb536725e0            2           26
              getrlimit       libc.so.6       7fbb53672180            1            5
       __close_nocancel       libc.so.6       7fbb5366d509            1            5
       __write_nocancel       libc.so.6       7fbb5366cf09            0          195
                __write       libc.so.6       7fbb5366cf00           15          225
        __read_nocancel       libc.so.6       7fbb5366cea9            0           13
                 __read       libc.so.6       7fbb5366cea0            1           15
        __open_nocancel       libc.so.6       7fbb5366cc99            0           13
                 __open       libc.so.6       7fbb5366cc90            1           15
               __fxstat       libc.so.6       7fbb5366c7e0            2           20
      popcount_cpucount       libc.so.6       7fbb5366c5e0            1          391
                  _exit       libc.so.6       7fbb5364ae60            1           10
                  wctob       libc.so.6       7fbb5362f080          128         2432
